0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.9152313470840454,0.05004521831870079,0.005793153773993254,0.028072820976376534
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,True,0.10022442042827606,0.7883262038230896,0.0768447294831276,0.03357097879052162
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,True,0.0010247566970065236,0.004247498232871294,0.002203573239967227,0.9917342662811279
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.8900901079177856,0.046441700309515,0.009288924746215343,0.05262533575296402
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,False,0.9653164744377136,0.01159508153796196,0.002430461347103119,0.01972389779984951
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.12555940449237823,0.2742469310760498,0.3690395951271057,0.22735869884490967
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.28438612818717957,0.221480131149292,0.12619557976722717,0.35949772596359253
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,True,0.27607765793800354,0.27607765793800354,0.15246455371379852,0.28932687640190125
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.09154704213142395,0.3976622223854065,0.32967355847358704,0.1792404055595398
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,True,0.031139563769102097,0.9243623614311218,0.00851308275014162,0.032633982598781586
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,True,0.1639738529920578,0.23124021291732788,0.4320135712623596,0.16917894780635834
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.018367985263466835,0.06411056965589523,0.8444911241531372,0.07152049988508224
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,True,0.2564907670021057,0.22284303605556488,0.1438782811164856,0.37319186329841614
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,True,0.351855605840683,0.5711179971694946,0.031228959560394287,0.042684923857450485
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,True,0.026040073484182358,0.06546474248170853,0.04429565742611885,0.862328827381134
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.5700334310531616,0.29572945833206177,0.04464846849441528,0.08741746097803116
