0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.9495046734809875,0.025303442031145096,0.016337130218744278,0.006810328923165798
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.49368739128112793,0.25215086340904236,0.07690166682004929,0.17061381042003632
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,False,0.25111666321754456,0.3541312515735626,0.22509951889514923,0.16727976500988007
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,True,0.7943207621574402,0.10583300143480301,0.03435894846916199,0.0612514428794384
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.09056233614683151,0.14931204915046692,0.609286367893219,0.14699718356132507
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,False,0.17511847615242004,0.23199430108070374,0.29326826333999634,0.2712287902832031
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.31333988904953003,0.25976791977882385,0.19917094707489014,0.22569027543067932
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.43245071172714233,0.26642516255378723,0.12197832018136978,0.17472587525844574
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,True,0.7323135137557983,0.16086792945861816,0.026260968297719955,0.07598863542079926
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,False,0.30833742022514343,0.25964614748954773,0.23274528980255127,0.1959911733865738
One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,True,0.49471113085746765,0.20622627437114716,0.045301903039216995,0.24875637888908386
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,False,0.0654803067445755,0.8491615653038025,0.052614904940128326,0.03093070723116398
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,False,0.10672805458307266,0.13704152405261993,0.46360552310943604,0.2856190800666809
That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,True,0.513157308101654,0.25009289383888245,0.06944828480482101,0.16401493549346924
A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,True,0.1080123633146286,0.7735542058944702,0.07308482378721237,0.04229825362563133
Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,False,0.1466025710105896,0.3103576600551605,0.45867887139320374,0.07847069948911667
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,False,0.24005204439163208,0.5758549571037292,0.05613338574767113,0.12260659039020538
Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,True,0.32882651686668396,0.4222216308116913,0.098731629550457,0.148213729262352
Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,True,0.8441576957702637,0.08897356688976288,0.024324020370841026,0.03767377883195877
The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,True,0.08223720639944077,0.667378842830658,0.15125736594200134,0.09465444833040237
High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,False,0.3156426250934601,0.2536259889602661,0.2238241285085678,0.2006346583366394
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,D,False,0.3097367584705353,0.32460132241249084,0.20957836508750916,0.1463092714548111
"Which of the following is more likely to be a cohort, rather than an age, difference?",A higher proportion of older women have completed menopause,A smaller proportion of older women report dreams about sex,A higher proportion of older men are bald,A higher proportion of older men and women are victims of cancer,B,False,0.4621967375278473,0.2473960965871811,0.12834739685058594,0.159730926156044
Fear of aging has been associated with high levels of,Introversion,Neuroticism,Rigidity,Mid-life crisis,B,True,0.27433377504348755,0.4740062355995178,0.1275770515203476,0.11616022884845734
In which dementia are cognitive symptoms less likely?,Parkinson's,Pick's,Huntington's,NeuroAIDS,A,True,0.29721033573150635,0.27487459778785706,0.21744370460510254,0.19189341366291046
"In this chapter's Senior View, Dr. Shealy advises you to",Stay in school,Eat the right foods,Get plenty of exercise,Find a high paying job,A,False,0.15523812174797058,0.12473732233047485,0.4154387414455414,0.2682274281978607
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",Emotional,Instrumental,Informational,Friendly,A,True,0.5149029493331909,0.32221806049346924,0.08672381192445755,0.06054297462105751
Hearing loss occurs more frequently for,Men than women,Women than men,People who already have some loss of vision,People who are obese,A,True,0.6013630628585815,0.21442262828350067,0.062400542199611664,0.11124099045991898
Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B,True,0.10484141856431961,0.6224721670150757,0.09252222627401352,0.1755763292312622
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,Coping strategies,Work productivity,Rates of dementia,Personality traits,D,False,0.33699285984039307,0.30683547258377075,0.18037928640842438,0.16945064067840576
"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",Stay away from other people for a while,Get out and be active,Talk about your loss,Make new friends who don't know about your loss,C,True,0.03302581608295441,0.052775103598833084,0.7755244970321655,0.13476593792438507
Social support is most likely to have a positive influence on health and well being when it is,Very emotional,Perceived as support,Unexpected,External rather than internal,B,False,0.13509319722652435,0.16295351088047028,0.19965480268001556,0.49415040016174316
Free radicals are produced by,Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A,True,0.8174023032188416,0.07967901974916458,0.027536332607269287,0.06709646433591843
Prejudice or bias against older adults is referred to as,Ageism,Oldism,Age bigotry,Senilism,A,True,0.9442561268806458,0.028514064848423004,0.01929358020424843,0.005792982876300812
"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",Euthanasia,Cryonics,Medicare,Hospice,D,True,0.002152977744117379,0.028359919786453247,0.013396277092397213,0.9539409875869751
Loss of smell for adults 80 and older is,Very infrequent (less than 15%),Very frequent (more than 75%),Infrequent (less than 40%),Frequent (close to 50%),B,False,0.2984935939311981,0.23246705532073975,0.12250152975320816,0.3435640037059784
Activation of a class of genes called sirtuins may help to,Prevent some diseases,Ward off dementias,Increase memory and intelligence,Produce emotional stability,A,True,0.71782386302948,0.17318306863307953,0.03986900672316551,0.05892257019877434
Elder abuse most frequently comes from the older adult's,Spouse,Children,Grandchildren,Neighbors,B,True,0.19422145187854767,0.4732500910758972,0.1768406629562378,0.12345467507839203
Projective tests generally ___ than objective tests of personality.,Have higher reliability,Are more visual,Are more valid,Provide more information,B,False,0.1875542849302292,0.17896555364131927,0.40965619683265686,0.219273179769516
Cells in the eye that respond to low levels of illumination are called,Rods,Cones,Retinal cells,Nocturnal detectors,A,False,0.17003661394119263,0.7986229062080383,0.0237424336373806,0.00538107892498374
Some work on age stereotypes suggests that,Positive ones are stronger,Negative ones are stronger,They never last very long,They are very rare,B,False,0.3803437054157257,0.3104274868965149,0.12542404234409332,0.1768762618303299
Which of the following could very well be a cohort difference rather than a change that occurs with age?,Differences in weight,Shrinkage of the thymus gland,Enlargement of the heart,Increasing size of nose and ears,A,True,0.33550986647605896,0.31029587984085083,0.14430099725723267,0.2067016214132309
The major question concerning aging and personality is:,Do older adults still have personalities?,Does personality change with age?,Does personality decline as we grow older?,Does personality increase of decrease with age?,B,True,0.12239798903465271,0.47658824920654297,0.2396436184644699,0.1571621298789978
A researcher who wants to examine both age and cohort differences is advised to use a _____ design.,Cross-sectional,Cross-sequential,Correlational,Quasi-experimental,B,False,0.7301141619682312,0.18750882148742676,0.052069321274757385,0.018858259543776512
Which of the following is NOT one of the most rewarding aspects of being a grandparent as reported by grandparents?,Feelings of immortality,Spoiling the grandchildren,Having others to wait on you,Remembering when they were grandchildren,C,False,0.3404974043369293,0.2452511042356491,0.18804052472114563,0.2233036607503891
"Of the following animals, which has the longest life span by current measures?",Gorilla,Blue whale,Dog,Queen honey bee,B,False,0.22173964977264404,0.25923994183540344,0.21491746604442596,0.29838332533836365
One advantage of an expected death over an unexpected death is that,One can use up some grief before the actual loss,One can make funeral and estate plans with the loved one,One can find ways to avoid having the same death for themselves,One can assist the terminally ill person in speeding their death,B,False,0.34101760387420654,0.30568620562553406,0.1023920476436615,0.24562577903270721
Changes in the reproductive system are more _____ for men but not for women,Mechanistic,Continuous,Organismic,Nurturant,B,False,0.48522546887397766,0.2897413671016693,0.1434323787689209,0.07677382230758667
Which of the following hormones has not yet been claimed to ward off senescence?,DHEA,Human growth hormone,Melatonin,Viasterol,D,False,0.2977941036224365,0.2628023624420166,0.19227032363414764,0.24305246770381927
The majority of older widows live,Alone,With children,With a friend,In an institution,A,True,0.724796712398529,0.13618527352809906,0.05169009789824486,0.08131993561983109
Centenarians are people who,Were born before the centennial,Study old age and older adults,Are 100 or more years old,Have not yet reached old age,C,True,0.013741628266870975,0.017644599080085754,0.8771515488624573,0.08960667252540588
Quantitative analyses of TV shows have shown that,Older adults are almost always portrayed in a negative way,The more positive portrayals occur during commercials,The proportion of older men is particularly low,The proportion of older women is particularly low,D,False,0.6754587292671204,0.09730906039476395,0.04668939858675003,0.17347215116024017
Which of the following groups of Americans have the lowest rate of alcohol abuse?,African-American,White,Native-American,Asian-American,D,False,0.3062930703163147,0.3015444278717041,0.10921216011047363,0.2788830101490021
"If you believe that changes occur slowly and steadily throughout life, you would be holding the _____ side of this view of development.",Mechanistic,Organismic,Continuity,Stability,C,False,0.36912164092063904,0.5205449461936951,0.0548650324344635,0.017264049500226974
"All other things being equal, which of the following persons is likely to live the longest?",A black man,A white man,A black woman,A white woman,D,True,0.2589356005191803,0.27136218547821045,0.15461750328540802,0.3123359680175781
"Which of the following age differences could be, in part, a cohort effect? Differences in",Depression,Alcoholism,Dementia,Suicide,B,False,0.40803346037864685,0.2116849720478058,0.1897531896829605,0.18106374144554138
"Clifford and Lucia Pauling, in Senior View, told us that physical changes",Are rapid and frightening,Can be offset by meditation,Take a long time,Should not be discussed in public,C,True,0.2641131579875946,0.18152213096618652,0.3338702917098999,0.21222086250782013
The biggest and most dangerous changes in the cardiovascular system take place in the,Heart,Blood vessels,Red blood cells,Plasma,B,True,0.0714312344789505,0.8978339433670044,0.01750497706234455,0.011480042710900307
Older adults generally perform very well when their _____ memory is tested.,Episodic,Working,Retrospective,Semantic,D,False,0.5552915334701538,0.33157971501350403,0.07170914113521576,0.018706446513533592
"With respect to marital satisfaction, most long lasting marriages",Show high satisfaction through all the years of marriage,Show high satisfaction that steadily declines as the years pass,Show lower levels during the years when children are present,Show ups and downs throughout the marriage,C,False,0.14776504039764404,0.4144172668457031,0.10155732184648514,0.33299365639686584
Theories,Are not very important in aging research,Attempt to explain findings and guide future research,Have never been adequately tested,Have been around for a long time but have only recently been tested,B,True,0.2677123248577118,0.6127996444702148,0.027348536998033524,0.08828216046094894
The least favored theory of senescence among researchers is the _____ theory,Free radical,Biological clock,Wear and tear,Garbage accumulation,C,False,0.32390615344047546,0.2903476059436798,0.22968384623527527,0.15300244092941284
A researcher finds that age is negatively correlated with cigarette smoking; this means that,Older adults experience more negative effects from smoking that do younger adults,Older adults smoke more than younger adults,Older adults smoke less than younger adults,Older and younger adults smoke about the same number of cigarettes and both experience negative effects,C,True,0.07933348417282104,0.1136399582028389,0.6539528965950012,0.15054850280284882
"When a researcher takes part in the situation he or she is observing, he or she is said to be a(n)",Active observer,Participant observer,Indiscreet observer,Meddling observer,B,True,0.2580563426017761,0.6487535834312439,0.06945491582155228,0.020854150876402855
"The term ""work-family conflict"" for middle-aged adults can occur when they must",Care for an ailing parent while continuing to work,Work a high stress job while their children are at home,Pay for nursing home care by sacrificing their own care,Serving as an executor of their parent's estate while still working full time,A,True,0.6507846117019653,0.183562234044075,0.06053239852190018,0.09673050045967102
Do traits change with age?,No,They change a little,Only for women,They change quite a lot,B,True,0.267091304063797,0.3708195388317108,0.14982464909553528,0.18645977973937988
The cause of Alzheimer's appears to be,Mostly environmental,Aluminum,Mostly genetic,Apo-E 4,C,True,0.16678667068481445,0.15425246953964233,0.5383939743041992,0.11826946586370468
Older married men have been found to have,Higher levels of positive emotions,Lower levels of positive emotions,Higher levels of negative emotions,Lower levels of negative emotions,D,False,0.4933951795101166,0.2724786698818207,0.11537474393844604,0.1171916276216507
"Within the United States, which location has the longest life expectancy?",California,Florida,Alaska,Hawaii,D,False,0.46335676312446594,0.17045944929122925,0.22232100367546082,0.1369680017232895
The largest proportion of older adults living alone reside in,Hawaii,"Washington, DC",Florida,California,B,False,0.10009551793336868,0.14793157577514648,0.5327221155166626,0.21523918211460114
Which level of personality description appears to show the most change with age?,Traits,Personal concerns,Coping strategies,Identity,B,False,0.4154927730560303,0.2520091235637665,0.18437379598617554,0.14585168659687042
The positive relationship between religion and physical health is NOT thought to be due to,Social support derived from a religious community,The rules of some religions which forbid unhealthy behaviors,The stress reducing effects of prayerful meditation,The benefits of knowing that others are praying for you,D,False,0.3499104976654053,0.2520310878753662,0.16272349655628204,0.2294769138097763
Human factors examines the performance of different tasks by examining,The factors that influence performance,The interaction between human and environment,The human side of the equation,The effects of environmental changes on humans,B,False,0.7960946559906006,0.12794405221939087,0.028105581179261208,0.04491259157657623
Prospective memory refers to memory,For some recent event,For something that happened a long time ago,To do something in the future,For the context and source of remembered information,C,True,0.02161450684070587,0.023738892748951912,0.9335454702377319,0.019074734300374985
The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,Prevalence,Incidence,Incipient,Diseased,A,True,0.9202601313591003,0.053565558046102524,0.014644009992480278,0.005916714668273926
Remarriages are,More frequent for woman than men,Typically more successful,Typically less successful,Most common among those who have never been married before,C,False,0.3428333103656769,0.2886946201324463,0.21121348440647125,0.1521313637495041
"With respect to job training, younger workers",Receive more opportunities than older workers,Perform better on the job than trained older workers,Always learn faster than older workers,Prefer to have classes by themselves,A,True,0.42549630999565125,0.27472108602523804,0.11632421612739563,0.17462334036827087
About how many grieving individuals seem to require some professional help?,Less than 10%,About 25%,Nearly half,More than 50%,B,True,0.15093401074409485,0.4796673059463501,0.21285107731819153,0.15093401074409485
People with which of the following forms of control are least likely to have accessibility problems where they live?,External,Internal,Primary,Total,B,False,0.3532077372074127,0.23899231851100922,0.23163928091526031,0.1721397042274475
Which of the following has been found to improve balance for older adults?,Tai chi,Aerobic exercise,Weight lifting,Walking briskly,A,True,0.716081976890564,0.17548343539237976,0.04723072797060013,0.05786829814314842
The most frequent chronic condition for older adults is,Hypertension,Arthritis,Diabetes,Cataracts,B,True,0.2756975293159485,0.370991587638855,0.19549883902072906,0.15465229749679565
Hypokinesia refers to,Severe obesity,Loss of muscle strength and bone density,Increased sensitivity to stress,Social isolation and lack of support,B,True,0.013184765353798866,0.9536645412445068,0.013392395339906216,0.018593499436974525
What percentage of older adults report feeling very or often lonely?,10%,25%,50%,75%,A,False,0.07398738712072372,0.21077045798301697,0.40627068281173706,0.3019147217273712
An example of a discontinuous change over the adult years is the change in,Personality,Working memory,Female hormone levels,Male sexuality,C,False,0.32690489292144775,0.2467607706785202,0.20457187294960022,0.21776562929153442
