0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,True,0.019558841362595558,0.9723127484321594,0.004364168271422386,0.002817718777805567
"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,True,0.2128935158252716,0.0735740214586258,0.05056663975119591,0.6455915570259094
Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,True,0.6159459352493286,0.1908111423254013,0.0713009163737297,0.10537592321634293
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,False,0.295131117105484,0.30929476022720337,0.19659969210624695,0.19355171918869019
Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,False,0.3933563530445099,0.3872579336166382,0.08776966482400894,0.12770409882068634
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,False,0.26751944422721863,0.2552688419818878,0.26337194442749023,0.20834434032440186
What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,False,0.6298620700836182,0.04353764280676842,0.02294272556900978,0.2975257933139801
Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,True,0.18625672161579132,0.2211853265762329,0.43305984139442444,0.15441225469112396
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,True,0.3830086290836334,0.27159377932548523,0.19870224595069885,0.14311987161636353
Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,True,0.07379995286464691,0.08105338364839554,0.711220920085907,0.13156263530254364
Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,True,0.12428606301546097,0.3173756003379822,0.44063234329223633,0.11494582146406174
"What makes a relationships last, according to Sternberg?",intimacy,commitment,decision,passion,B,False,0.41083434224128723,0.22688426077365875,0.1608850359916687,0.17948023974895477
The position that abortion is murder is held by certain people in which religion?,Orthodox Jews,Fundamentalist Protestants,Eastern Orthodox Christians,all of the above,D,False,0.0925598219037056,0.7056400179862976,0.04107316955924034,0.1526053547859192
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",legalism,asceticism,situationism,hedonism,B,True,0.0348956361413002,0.9285383820533752,0.01782294735312462,0.017006773501634598
Ovaries and testes,are homologous,produce gametes,produce sex hormones,all of the above,D,True,0.2309103161096573,0.09184977412223816,0.11979469656944275,0.5368825793266296
Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:,the cortical activity of these two groups,the overall brain weights of these two groups,the cell structure in the hypothalamus of these two groups,blood volume and metabolism of sugars in the brains of these two groups,C,False,0.8139289617538452,0.05714677646756172,0.07112031430006027,0.054529838263988495
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",sociobiology,psychoanalytic theory,script theory,social learning theory,D,False,0.0857694000005722,0.38439178466796875,0.22246889770030975,0.30407893657684326
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",Mexican Americans and whites; African Americans,Mexican Americans; African Americans and whites,African Americans; whites and Latinos,Whites; African Americans and Latinos,A,True,0.35130074620246887,0.3404923677444458,0.1794268786907196,0.12723270058631897
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",Kinsey,Freud,Masters and Johnson,Kaplan,A,False,0.17426854372024536,0.26991236209869385,0.47371095418930054,0.06410980224609375
Which of the following characteristics are generally consistent with date rape?,use of excessive force,premeditated,sexually motivated,involves use of a weapon,C,True,0.1446569412946701,0.15159915387630463,0.3871220052242279,0.30623874068260193
"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.",Gender identity,Sexual nomenclature,Gender schema,Intrapsychic sexual orientation,A,True,0.9606121182441711,0.02404845505952835,0.007449863478541374,0.0060804011300206184
The average male genital size is approximately,4 inches,5 inches,7 inches,1 foot,B,True,0.1611124873161316,0.45896676182746887,0.2656295895576477,0.10240933299064636
People who cannot reach orgasm without touching a woman's shoe would certainly be considered sexually abnormal or deviant by which of the following definitions?,psychological,sociological,statistical,b and c,D,False,0.35840117931365967,0.2747957110404968,0.06629755347967148,0.15414643287658691
"If a woman or man repeatedly experiences pain during intercourse, she will probably want to have intercourse infrequently or not all. In this situation, __________ would likely classify the pain as a punishment.",Sigmund Freud,John Money,B. F. Skinner,Havelock Ellis,C,False,0.3747546970844269,0.31557509303092957,0.11252176016569138,0.16891518235206604
"What seems to be the case when the folk saying ""opposites attract"" (i.e., dissimilar attitudes tend to cause liking) when it is considered in light of current research?",It does not seem to be true.,It seems to be true for heterosexuals but not for homosexuals.,It seems to be true for homosexuals but not for heterosexuals.,It seems to be true for women but not for men,A,False,0.23705923557281494,0.299670934677124,0.24843592941761017,0.20920401811599731
The egg can be fertilized until about _______ after ovulation.,6 hours,24 hours,72 hours,1 week,B,True,0.08932538330554962,0.4328584372997284,0.3819962441921234,0.08932538330554962
"After releasing an egg, the follicle, under stimulation of luteinizing hormone, turns into a a glandular mass of cells called the __________",corpus cavernosum,corpus luteum,corpus callosum,corpus glandula,B,True,0.009652835316956043,0.9693509340286255,0.009503182955086231,0.00921079982072115
How is endometriosis generally treated?,antiprosaglandin drugs,prostaglandin drugs,hormones,aspirin,C,False,0.42474260926246643,0.18847839534282684,0.3206125497817993,0.06313235312700272
"Before the Masters and Johnson research, it was thought that vaginal lubrication was due to secretions of",Cowper's gland,Prostate gland,Bartholin glands,Adrenal gland,C,True,0.09003482758998871,0.09003482758998871,0.753852367401123,0.05997612327337265
Buffy and Willow were discussing their sexual fantasies. Buffy revealed that she sometimes fantasizes about sex with other women even though she normally finds herself attracted to men. She also fantasizes about group sex. Which of the following statements can be inferred from Buffy's fantasies?,Buffy's fantasies suggest that she must be a latent homosexual or bisexual.,Buffy's fantasies are indicative of a paraphilia.,Buffy's fantasies indicate that she is not getting enough sex to keep her satisfied.,Buffy's fantasies are fairly typical and tell us little about her sexual tendencies.,D,True,0.24886956810951233,0.2301667183637619,0.21962662041187286,0.295539915561676
The environment for sperm passage is most hospitable just at,preovulation,proliferation,ovulation,menstruation,C,False,0.31778189539909363,0.2804415225982666,0.31778189539909363,0.08161313831806183
Secretions of Cowper's gland fluid at the tip of the penis are first evident:,following orgasm,immediately before orgasm,prior to vasocongestion,during the plateau phase,D,False,0.3975558578968048,0.40381643176078796,0.09442779421806335,0.10210078209638596
Which of the following restrictions existed in at least one culture? No sex,for a period of time following childbirth,during menstruation,between parents and children,all of the above,D,True,0.3330284059047699,0.15978877246379852,0.11155053973197937,0.3833133578300476
Which of the following teenagers have the highest pregnancy rates?,U.S.,Canadian,Swedish,French,A,True,0.7309983968734741,0.07825996726751328,0.05815787613391876,0.07704666256904602
The onset (the very beginning) of labor is first triggered by,hormones secreted by the Mother's ovaries,hormones secreted by the Mother's hypothalamus,hormones secreted by the fetus' adrenal gland,the placenta and uterus secretion of prostaglandins,C,False,0.03912414610385895,0.05183107405900955,0.042303286492824554,0.8630648255348206
