0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.3214253783226013,0.5911917686462402,0.03663083538413048,0.0492921806871891
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.038108475506305695,0.17621180415153503,0.6055043339729309,0.17621180415153503
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.09477565437555313,0.2576269209384918,0.5369406342506409,0.10739488154649734
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.018300628289580345,0.10049021989107132,0.03814178705215454,0.841394305229187
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.36157935857772827,0.25242307782173157,0.14382633566856384,0.23712953925132751
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.21192315220832825,0.7513328790664673,0.020657919347286224,0.014648659154772758
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,True,0.15918569266796112,0.2837791442871094,0.07758090645074844,0.47524067759513855
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.44755229353904724,0.42043647170066833,0.06447602808475494,0.06347641348838806
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.005107759963721037,0.9886950850486755,0.003196354489773512,0.0020002275705337524
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,True,0.2519337236881256,0.3723338842391968,0.21214944124221802,0.15521185100078583
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.08988863229751587,0.31374219059944153,0.46368086338043213,0.130787193775177
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.008288555778563023,0.973113477230072,0.009103196673095226,0.007908995263278484
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.029281647875905037,0.05470531806349754,0.031170152127742767,0.8828991055488586
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.6748314499855042,0.1578015238046646,0.05989469587802887,0.10511846840381622
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.3541003167629242,0.2215903252363205,0.1499355137348175,0.2714981436729431
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.23531697690486908,0.21425855159759521,0.23531697690486908,0.3117443323135376
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.09899533540010452,0.10703947395086288,0.7314820885658264,0.06098925694823265
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.3113044500350952,0.2073734849691391,0.17191864550113678,0.3064781427383423
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.275224894285202,0.4067560136318207,0.16179636120796204,0.15199361741542816
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.43796810507774353,0.23811912536621094,0.1467009335756302,0.17421168088912964
