0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,True,0.0483664870262146,0.8984599709510803,0.03171951696276665,0.01923885941505432
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,True,0.9773401021957397,0.009286712855100632,0.0035803469363600016,0.008068435825407505
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.19881249964237213,0.3277864158153534,0.23609569668769836,0.22528408467769623
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.4112671911716461,0.4960829019546509,0.06507191061973572,0.02508745715022087
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.17927023768424988,0.5187355875968933,0.14631609618663788,0.15333795547485352
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,True,0.08776549249887466,0.5904697179794312,0.10101746022701263,0.2172216922044754
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,True,0.06834793090820312,0.05846107751131058,0.028940336778759956,0.8326482176780701
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,False,0.3784065842628479,0.40915507078170776,0.09567617624998093,0.11361826211214066
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.2881418764591217,0.3475654423236847,0.18896804749965668,0.16938987374305725
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.1656113564968109,0.26054322719573975,0.4229034185409546,0.14615151286125183
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.21732568740844727,0.2540794909000397,0.17191876471042633,0.3527544140815735
