0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.26731929183006287,0.24339699745178223,0.37698063254356384,0.10800676792860031
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,True,0.04948759824037552,0.08961045742034912,0.17544876039028168,0.6831551790237427
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.49406698346138,0.26035502552986145,0.043850935995578766,0.19962109625339508
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.058215975761413574,0.11759950965642929,0.6873955130577087,0.13535620272159576
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,True,0.04511195048689842,0.7280700206756592,0.07437703758478165,0.15024572610855103
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,True,0.06292266398668289,0.07589922845363617,0.3794722557067871,0.4796978533267975
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,True,0.010227094404399395,0.027369126677513123,0.9351113438606262,0.02571091428399086
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.04990168660879135,0.4809098243713379,0.07491130381822586,0.3925071656703949
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,True,0.8574959635734558,0.07975954562425613,0.03075004741549492,0.026301907375454903
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,True,0.005771228112280369,0.8837152719497681,0.012410091236233711,0.09609957784414291
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.011610547080636024,0.019142555072903633,0.9368647336959839,0.030115468427538872
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.1916622668504715,0.3525208532810211,0.3580722510814667,0.0934087336063385
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.16114987432956696,0.2134888917207718,0.17698851227760315,0.44494906067848206
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,True,0.49338844418525696,0.23673035204410553,0.22238759696483612,0.045892272144556046
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,True,0.072843998670578,0.08925033360719681,0.06529694050550461,0.7710052728652954
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,True,0.9230172634124756,0.05372604355216026,0.011086996644735336,0.010745886713266373
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A,False,0.1891014277935028,0.7025970220565796,0.04491552338004112,0.06139224022626877
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,True,0.038343168795108795,0.09055445343255997,0.26615434885025024,0.5997880697250366
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A,False,0.014269028790295124,0.03643724322319031,0.6983472108840942,0.24900338053703308
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D,False,0.3472871780395508,0.20099440217018127,0.22775650024414062,0.2207491546869278
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C,True,0.025444628670811653,0.04195110499858856,0.9110790491104126,0.019509073346853256
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A,False,0.1810712218284607,0.23988038301467896,0.33828556537628174,0.23616138100624084
