0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,False,0.22774344682693481,0.37548545002937317,0.23132988810539246,0.13388347625732422
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,True,0.151594877243042,0.0584450289607048,0.07160835713148117,0.6901001334190369
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,True,0.1902790665626526,0.5770140886306763,0.09273460507392883,0.13705286383628845
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,False,0.11552544683218002,0.17892931401729584,0.551141083240509,0.15067358314990997
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,True,0.2281484603881836,0.4608725607395172,0.1722155064344406,0.12999507784843445
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,True,0.5369762182235718,0.21359439194202423,0.11612925678491592,0.12556567788124084
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,False,0.08518023788928986,0.2543012201786041,0.18032656610012054,0.4750972092151642
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,True,0.12032466381788254,0.7969712615013123,0.04567009210586548,0.032894935458898544
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,False,0.24126003682613373,0.39777055382728577,0.11575783044099808,0.24126003682613373
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.13584856688976288,0.15882305800914764,0.5543469190597534,0.14461004734039307
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,True,0.15839342772960663,0.1634213775396347,0.35694509744644165,0.30531132221221924
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,False,0.4572562873363495,0.30939510464668274,0.12116086483001709,0.10860789567232132
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,False,0.5727161169052124,0.19485685229301453,0.16666989028453827,0.05850663408637047
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,False,0.30341267585754395,0.3229811191558838,0.19589795172214508,0.17019909620285034
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,True,0.2719366252422333,0.2986639440059662,0.15017767250537872,0.2719366252422333
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,True,0.5773402452468872,0.22258448600769043,0.11368502676486969,0.08188425749540329
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,False,0.028836049139499664,0.04466214030981064,0.7672987580299377,0.15109007060527802
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,False,0.8655221462249756,0.0710463896393776,0.01610223390161991,0.04515983164310455
How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,True,0.25582242012023926,0.43516862392425537,0.12084195762872696,0.18140526115894318
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,True,0.1494693160057068,0.23885124921798706,0.4325037896633148,0.1747473180294037
