0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.21710102260112762,0.078628771007061,0.030791468918323517,0.5901417136192322
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.2975756824016571,0.18333105742931366,0.4131428897380829,0.0921846479177475
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.3014722466468811,0.4669293463230133,0.07622411847114563,0.1515897661447525
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.1654205471277237,0.2685040533542633,0.3289780616760254,0.23328036069869995
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.22272083163261414,0.08193441480398178,0.5019091367721558,0.14379937946796417
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.2717406451702118,0.5320423245429993,0.10476534068584442,0.08822125941514969
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.18749059736728668,0.19958271086215973,0.3290562629699707,0.24453383684158325
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.10531741380691528,0.04821782931685448,0.03262581676244736,0.5966638326644897
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.10291731357574463,0.5226572751998901,0.228332057595253,0.14067129790782928
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.35169485211372375,0.3152572214603424,0.12345650792121887,0.19728292524814606
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.11554677784442902,0.33961090445518494,0.14157088100910187,0.3970453441143036
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.5536636114120483,0.24955575168132782,0.09472067654132843,0.08490706980228424
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.077547088265419,0.49011263251304626,0.2664695978164673,0.07876826822757721
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.2717532515525818,0.40794992446899414,0.147749662399292,0.15243975818157196
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.16195403039455414,0.37071648240089417,0.21122786402702332,0.22485090792179108
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.14405690133571625,0.41037988662719727,0.3349423110485077,0.09156813472509384
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.18859466910362244,0.18567076325416565,0.1799582839012146,0.41841554641723633
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.07297707349061966,0.7486491203308105,0.0605001263320446,0.08531884849071503
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.628611147403717,0.10587538778781891,0.054075855761766434,0.16398301720619202
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.25002747774124146,0.2789258062839508,0.25796419382095337,0.20406648516654968
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,True,0.5809099078178406,0.14459991455078125,0.09784119576215744,0.156349778175354
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.1711030751466751,0.487427294254303,0.1658387929201126,0.1711030751466751
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.6067041754722595,0.26922333240509033,0.07360156625509262,0.040016479790210724
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.37105676531791687,0.4839492440223694,0.06971950083971024,0.051811132580041885
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.46282511949539185,0.31809476017951965,0.03568924218416214,0.06987614184617996
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,True,0.0832122415304184,0.2728424370288849,0.2859364151954651,0.3395578861236572
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.20988592505455017,0.27374282479286194,0.30538222193717957,0.20342841744422913
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,False,0.21905985474586487,0.3041344881057739,0.06680947542190552,0.28570789098739624
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,True,0.1916191428899765,0.36362922191619873,0.28765439987182617,0.15397030115127563
A Binary number system has how many digits.,0,1,2,10,C,True,0.040320392698049545,0.10790297389030457,0.41363435983657837,0.07771959155797958
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.4260070025920868,0.20761923491954803,0.20440039038658142,0.10118553787469864
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,True,0.5000066161155701,0.01157672144472599,0.01684403046965599,0.280478298664093
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.1215069517493248,0.47311878204345703,0.0461188368499279,0.3461410701274872
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,False,0.11359428614377975,0.37246134877204895,0.37246134877204895,0.11720015853643417
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.01600451022386551,0.07516949623823166,0.017036713659763336,0.8875772356987
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.17550817131996155,0.4144948422908783,0.2289057821035385,0.17550817131996155
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.18772172927856445,0.27743473649024963,0.38517996668815613,0.0609443262219429
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.4985947906970978,0.3822858929634094,0.06643132865428925,0.04710686579346657
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,True,0.1251322627067566,0.18206638097763062,0.1908039152622223,0.487234890460968
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.15851885080337524,0.24171239137649536,0.35722774267196655,0.23796498775482178
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.24325351417064667,0.3222585618495941,0.3172624111175537,0.09675955772399902
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,True,0.2395986020565033,0.41398924589157104,0.12625958025455475,0.06348731368780136
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.21917736530303955,0.2602795660495758,0.30908963084220886,0.18456584215164185
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.046918924897909164,0.9133974313735962,0.024341216310858727,0.008544569835066795
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,False,0.24518172442913055,0.19700904190540314,0.26927945017814636,0.2609945833683014
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,True,0.0006519292946904898,0.9925782084465027,0.001199081540107727,0.0007272796938195825
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.4465476870536804,0.3760308623313904,0.08793044835329056,0.060433655977249146
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.26301443576812744,0.337717205286026,0.1807670146226883,0.1779644787311554
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,False,0.2602066397666931,0.31881183385849,0.15296758711338043,0.14147189259529114
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.16559094190597534,0.3345029056072235,0.27301332354545593,0.2228270024061203
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.14766143262386322,0.03193402662873268,0.22870250046253204,0.5660440921783447
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,True,0.10041514039039612,0.12893560528755188,0.11202118545770645,0.577849268913269
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.20801988244056702,0.06053723767399788,0.6114044189453125,0.08404763042926788
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,False,0.7054495811462402,0.23629601299762726,0.029117383062839508,0.011402529664337635
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,True,0.23886483907699585,0.6293250322341919,0.0787692666053772,0.043500520288944244
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,False,0.18793529272079468,0.40412434935569763,0.2197185903787613,0.13966163992881775
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,False,0.13262253999710083,0.03799699246883392,0.2807619273662567,0.06988716870546341
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,0.0005511787021532655,0.0011487550800666213,0.9965544939041138,0.00021249832934699953
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,True,0.004415861796587706,0.8957873582839966,0.010759919881820679,0.006425040774047375
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.49057260155677795,0.18913258612155914,0.10123537480831146,0.1567964255809784
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,False,0.1782248467206955,0.017924543470144272,0.07546515017747879,0.6318619251251221
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,True,0.25615474581718445,0.2123597264289856,0.2902613580226898,0.21910075843334198
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,True,0.25475597381591797,0.692498505115509,0.02091164141893387,0.018745075911283493
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,False,0.3241173326969147,0.436147540807724,0.17079782485961914,0.03363208845257759
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,False,0.5261512398719788,0.06689261645078659,0.023117471486330032,0.33970877528190613
