0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Marginal revenue equals marginal cost at the point where,total revenue is greater than total cost at its greatest distance,total revenue is equal to total cost,marginal product is at its highest point,total product is at its highest point,A,True,0.38159894943237305,0.2425590455532074,0.12196635454893112,0.23879852890968323
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.,Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.,Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.,Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.,C,False,0.4162071943283081,0.1875992864370346,0.19055354595184326,0.20284318923950195
"At a Nash equilibrium,",the supply curve intersects the demand curve,neither party has an incentive to deviate from his or her strategy,the marginal revenue curve intersects the marginal cost curve,the equilibrium is unstable and each party would like to switch strategies,B,True,0.043648626655340195,0.7982500195503235,0.0314389243721962,0.12434336543083191
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,goods X and Y are normal goods.,goods X and Y are inferior goods.,goods X and Y are complementary goods.,goods X and Y are substitute goods.,D,True,0.0615222342312336,0.059629395604133606,0.35961124300956726,0.5151193737983704
An externality,causes the equilibrium price to be artificially high,causes the equilibrium price to be artificially low,exists when markets cannot reach equilibrium,results in an equilibrium that does not maximize the total benefit to society,D,False,0.7948338985443115,0.11098368465900421,0.030819054692983627,0.06034078449010849
What is one reason why the government discourages collusion between large firms in the same industry?,"Collusive output levels tend to increase, driving the price above competitive levels.",Consumer surplus falls as the price is driven downward.,"Collusive output levels tend to decrease, driving the price down to competitive levels.",Joint profit maximization costs society consumer surplus as the price rises above competitive levels.,D,False,0.5835112929344177,0.11854751408100128,0.06445316225290298,0.22850629687309265
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,Perfectly horizontal demand curve.,Highly inelastic demand curve.,Highly elastic demand curve.,A demand curve consisting of two discontinuous segments.,D,True,0.14504113793373108,0.07293125987052917,0.1077854186296463,0.6706633567810059
Which of the following is not the basis for a wage differential?,Higher risk job.,Investment in human capital.,Increase in production of SUVs.,Racial discrimination.,C,False,0.1969415843486786,0.3566151559352875,0.1969415843486786,0.2450977861881256
"Patents, control of resources, economies of scale, and exclusive licenses are",all requirements for price discrimination,required in order for a firm to earn short-run profits,all sources of elastic demand,all barriers to entry,D,False,0.744157075881958,0.0784335732460022,0.0506405234336853,0.11774275451898575
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",increasing-cost industry,constant-cost industry,decreasing-cost industry,profit-making industry,B,False,0.29210466146469116,0.20392191410064697,0.27015265822410583,0.23107382655143738
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",Amount of wood used to make a desk.,Number of pickles put on a sandwich.,The size of a McDonald’s kitchen.,Number of teacher’s assistants in local high schools.,C,False,0.3259141445159912,0.2275247424840927,0.30142131447792053,0.14238135516643524
