0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.9978392720222473,0.000895804725587368,0.0003347377642057836,0.00041012928704731166
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,True,0.0026545929722487926,0.9904568791389465,0.0036855374928563833,0.0026134373620152473
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,True,0.0004796249559149146,0.00041670535574667156,0.0004871779528912157,0.9981206059455872
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.9915209412574768,0.0023088278248906136,0.001336247194558382,0.004052119329571724
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,False,0.9984580278396606,7.131398160709068e-05,0.0001374613057123497,0.0006872632657177746
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.11815164238214493,0.1917790323495865,0.4821324348449707,0.19479911029338837
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.36487022042274475,0.048614252358675,0.11127912998199463,0.4134521186351776
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,True,0.3283788859844208,0.16003908216953278,0.1134847030043602,0.3839138150215149
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.23247022926807404,0.26342326402664185,0.22531786561012268,0.2760652005672455
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,True,0.006233259104192257,0.9847613573074341,0.004024494905024767,0.003388964105397463
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,False,0.34822872281074524,0.38847723603248596,0.21791596710681915,0.03042788803577423
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.000707360333763063,0.001342334202490747,0.996037483215332,0.001342334202490747
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,False,0.49464014172554016,0.24106834828853607,0.10697343200445175,0.15085670351982117
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,True,0.1459330916404724,0.8397870063781738,0.008105341345071793,0.002550459001213312
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,False,0.7737863659858704,0.02526501938700676,0.019371364265680313,0.17537400126457214
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.33734431862831116,0.5143886804580688,0.03905044123530388,0.10615009069442749
All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,False,0.27975332736968994,0.31208741664886475,0.2977958917617798,0.10785453021526337
Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,True,0.6586295366287231,0.316013902425766,0.013457494787871838,0.010813401080667973
Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,True,0.006589365657418966,0.3890010714530945,0.007014343049377203,0.5839597582817078
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,False,0.5089870095252991,0.1100761666893959,0.07332653552293777,0.2992180287837982
Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,False,0.7102822065353394,0.2738381624221802,0.010453243739902973,0.0040935492143034935
A fetus with the genotype XXY will most likely,result in a miscarriage.,suffer from sterility as an adult.,be color blind.,grow into a depressed adult.,B,False,0.08668367564678192,0.23934130370616913,0.5741499662399292,0.09520339220762253
"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,False,0.1478062868118286,0.05270195007324219,0.22188349068164825,0.5665993690490723
"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,D,False,0.8650960326194763,0.09261633455753326,0.024160414934158325,0.015357294119894505
Research indicates that which of the following factors most influence a person's sexual orientation?,parenting style,masculine/feminine personality traits,hormones released in the womb,sexual orientation of parents,C,False,0.06406104564666748,0.044721819460392,0.06926650553941727,0.8178766369819641
Which of the following usually increases with age in healthy adults between the ages of 18 and 70?,fluid intelligence,crystallized intelligence,g,speededness,B,False,0.6532723307609558,0.178594708442688,0.09862937033176422,0.04241996631026268
The left cerebral hemisphere is specialized for which of the following functions?,"verbal, mathematical, and recognizing emotional expressions","mathematical, spatial, and musical","verbal, analytic, and mathematical","mathematical, spatial, and analytic",C,False,0.8802022933959961,0.06894277781248093,0.011080112308263779,0.038673389703035355
Runners in a park were found to pick up their pace when another runner came into view; this finding illustrates the phenomenon of,social facilitation.,conformity.,deindividuation.,norms.,A,True,0.9988046884536743,0.0004508747369982302,0.00016329600475728512,5.4697309678886086e-05
"A researcher tests the problem solving skills of twenty 10-year-old, twenty 20-year-old, and twenty 30-year-old participants for a study on age and problem solving. What research method is this researcher using?",longitudinal,stage,developmental,cross-sectional,D,False,0.001509903115220368,0.0034026196226477623,0.9583092331886292,0.035456109791994095
"Bessie could barely detect sweetness in a sip of water from a pitcher in which one quarter of a teaspoon of water was mixed into a half gallon of water. For taste, this is Bessie's",absolute threshold,difference threshold,subliminal stimulation,distal stimulus,A,True,0.9421547651290894,0.03326213359832764,0.008542421273887157,0.014305864460766315
"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?",Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work,Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time,Explaining to Mary the value of completing seat work in terms of the objectives of the lesson,Removing the blocks from the classroom during the assigned seat-work time,B,False,0.5311341285705566,0.3221491277217865,0.07188118249177933,0.07188118249177933
Which of the following are most directly designed to help determine whether the findings of a study reflect a truly replicable phenomenon rather than the outcomes of chance processes?,Inferential statistics,Descriptive statistics,Standard deviation,Extraneous variables,A,True,0.49070098996162415,0.058605875819921494,0.02560301125049591,0.41971883177757263
An unjustifiable and usually negative attitude toward a group and its members is called,prejudice,ethnocentrism,in-group bias,discrimination,A,True,0.9138404130935669,0.07270469516515732,0.006254373583942652,0.006061946507543325
"Calvin's fear of dogs was so great that he could not even visit his friends who had dogs or who lived in a neighborhood that had a lot of dogs. Once he sought help, he worked to overcome this fear first by witnessing his counselor playing with a dog and then, after a while, by actually touching and petting a dog himself. The method used to help Calvin overcome his fears is known as",countertransference,peer-counselor alliance,rational-emotive therapy,systematic desensitization,D,True,0.0021975175477564335,0.0016077380860224366,0.005789687391370535,0.9890088438987732
"Mr. Gordon suffered damage to the back of his right frontal lobe. As a result, he is unable to",understand information he hears,understand information he reads,speak intelligibly,move his left hand,D,False,0.7768204212188721,0.12880945205688477,0.05286329239606857,0.039284661412239075
"During the manic phase of a bipolar disorder, individuals are most likely to experience",high self-esteem,delusions of persecution,uncontrollable grief and despair,visual hallucinations,A,False,0.030248604714870453,0.8304352760314941,0.04332912340760231,0.09463950246572495
"According to Kohlberg, at the third (postconventional) level of moral development, individuals",follow rules in order to obtain reward,follow rules in order to avoid punishment,"define what is right by what they have learned from others, especially authority figures",self-define principles that may or may not match the dominant morals of the times,D,True,0.003784838132560253,0.0019944694358855486,0.00707100797444582,0.9858489036560059
"To which perspective are the roles of knowledge, information processing, and their interactions most central?",Psychoanalytic,Cognitive,Behaviorist,Evolutionary,B,True,0.0011596526019275188,0.9904114603996277,0.006993600632995367,0.0004834151768591255
Which of the following is primarily a chemical sense?,Touch,Vision,Taste,Hearing,C,True,0.012387016788125038,0.010931504890322685,0.9687668085098267,0.0025562054943293333
