0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.9970281720161438,0.0008278104942291975,0.0010796685237437487,0.00037312344647943974
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.702603280544281,0.16174845397472382,0.04491592198610306,0.0826130285859108
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,True,0.7956141829490662,0.16676978766918182,0.019305003806948662,0.016512444242835045
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,True,0.9376457929611206,0.03310294821858406,0.00823997426778078,0.0197666734457016
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.10512395203113556,0.07691032439470291,0.7528681755065918,0.06084107980132103
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,False,0.6062065958976746,0.23371346294879913,0.039983659982681274,0.03065653331577778
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.2505031228065491,0.2245495319366455,0.4066067039966583,0.11649477481842041
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.6989439129829407,0.14199906587600708,0.0573728084564209,0.09168148785829544
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,True,0.8647608160972595,0.0911451131105423,0.009311060421168804,0.0324987955391407
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,True,0.19105388224124908,0.1464860737323761,0.5793637037277222,0.07840834558010101
