0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.0861956998705864,0.4242700934410095,0.24941550195217133,0.23430417478084564
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.5595372915267944,0.290284126996994,0.12881280481815338,0.017707444727420807
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.0009159969049505889,0.0024899379350245,0.9889390468597412,0.006458406802266836
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.04407361149787903,0.28739601373672485,0.06616231799125671,0.5989847779273987
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.37992334365844727,0.1971016377210617,0.22334539890289307,0.1971016377210617
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.06287668645381927,0.923966109752655,0.008779551833868027,0.0030819126404821873
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.06598410755395889,0.6260398030281067,0.07361059635877609,0.2303072065114975
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.10401614755392075,0.8441212773323059,0.017519177868962288,0.022849315777420998
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.0026263799518346786,0.9953619837760925,0.0008394414908252656,0.00018154193821828812
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,True,0.1750394105911255,0.43322673439979553,0.30244097113609314,0.0764690563082695
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.031036941334605217,0.05889775604009628,0.8388677835464478,0.06885845959186554
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.0005099953268654644,0.997020423412323,0.0009091649553738534,0.0003731205652002245
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.0848618820309639,0.03885259851813316,0.07606970518827438,0.7926644682884216
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.9268532991409302,0.04403216019272804,0.01452026516199112,0.013429050333797932
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.6113451719284058,0.15217585861682892,0.08403948694467545,0.1474938988685608
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.21688243746757507,0.14447486400604248,0.43811458349227905,0.19441217184066772
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.04459812492132187,0.01615237072110176,0.9098837971687317,0.027908794581890106
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,True,0.2027869075536728,0.16550986468791962,0.5178345441818237,0.11025332659482956
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.26404455304145813,0.37236252427101135,0.2810739576816559,0.076841339468956
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.41803109645843506,0.3575609624385834,0.09040556102991104,0.12551568448543549
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.015130511485040188,0.001645366777665913,0.0012615465093404055,0.9810155630111694
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.23085223138332367,0.14904940128326416,0.35200759768486023,0.2657092809677124
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.63458251953125,0.25241950154304504,0.033110231161117554,0.07345826178789139
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,True,0.1165706068277359,0.8613467812538147,0.012286451645195484,0.007000609766691923
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.003049474908038974,0.027179673314094543,0.010478696785867214,0.9581165313720703
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.10446912050247192,0.05679887533187866,0.0372496135532856,0.796431839466095
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.986671507358551,0.005426053889095783,0.0049404785968363285,0.002226848155260086
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.07068032026290894,0.9165963530540466,0.007686128839850426,0.0030099309515208006
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.00877468567341566,0.011993573978543282,0.9527676105499268,0.024609217420220375
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.08270292729139328,0.7033678293228149,0.17236770689487457,0.04030618816614151
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,True,0.41536739468574524,0.19929544627666473,0.14810381829738617,0.2329999953508377
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.054947905242443085,0.07279415428638458,0.27904847264289856,0.5815869569778442
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.0008747215615585446,0.0020022576209157705,0.02054053731262684,0.9743546843528748
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.019725626334547997,0.9504339694976807,0.01687222346663475,0.006816993933171034
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.3024555742740631,0.24685703217983246,0.3321824371814728,0.11479918658733368
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.014978248625993729,0.9412643313407898,0.02932598814368248,0.01013479009270668
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.9957503080368042,0.002212496707215905,0.0007071563741192222,0.000633890856988728
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.0024508205242455006,0.9887315630912781,0.003855681512504816,0.0037370549980551004
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.04611184820532799,0.02247312106192112,0.9261812567710876,0.0032375601585954428
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.03430179879069328,0.9565401077270508,0.00551280053332448,0.0018179285107180476
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.0014760504709556699,0.9972435235977173,0.0003850508073810488,0.00013516555191017687
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.9894545078277588,0.0004397291922941804,0.0002176817215513438,0.0003267789725214243
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.0020016280468553305,0.004653924610465765,0.9740482568740845,0.01812126114964485
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.0020265893545001745,0.9861952066421509,0.0063406373374164104,0.004357852507382631
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.9951841235160828,0.0031183462124317884,0.0004933939781039953,0.00013488641707226634
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.0012295747874304652,0.003448427887633443,0.9712107181549072,0.02179473638534546
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.3752141296863556,0.28322646021842957,0.16912226378917694,0.16912226378917694
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.029703611508011818,0.05295240879058838,0.8546085953712463,0.06000293791294098
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.5026089549064636,0.37350723147392273,0.05818120762705803,0.06389955431222916
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.21544700860977173,0.13482332229614258,0.2809959053993225,0.3664877414703369
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.008885776624083519,0.9498717188835144,0.01253095455467701,0.02694578841328621
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.9985847473144531,0.0005609990912489593,0.00019087031250819564,0.0001509908470325172
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,True,0.25294724106788635,0.1353929191827774,0.5271873474121094,0.07024092227220535
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.0003180998610332608,0.0015414677327498794,0.9937493801116943,0.0035284548066556454
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.0259235892444849,0.44536909461021423,0.5046693086624146,0.019876305013895035
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.24989736080169678,0.23111727833747864,0.39314374327659607,0.11990205943584442
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.00324636185541749,0.0056975423358380795,0.9581793546676636,0.03177834302186966
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,True,0.21001392602920532,0.17963442206382751,0.04541869834065437,0.5620263814926147
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.006882183253765106,0.9899811148643494,0.0009609679691493511,0.0004264269955456257
What is the optimal span of control?,2,5,7,None of the above,D,False,0.1416080743074417,0.5020442008972168,0.2564191222190857,0.052915070205926895
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.1590580940246582,0.05943566560745239,0.4976487457752228,0.2748277187347412
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.14780884981155396,0.08965059369802475,0.37159138917922974,0.3894244432449341
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.2887612581253052,0.23568007349967957,0.2431613653898239,0.20158784091472626
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.006106389220803976,0.9799098968505859,0.010226278565824032,0.0028397347778081894
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.0005165711627341807,0.0005498871323652565,0.001201063976623118,0.9942193031311035
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.046535640954971313,0.05440567433834076,0.0329987071454525,0.8644499778747559
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,True,0.26789817214012146,0.6948750019073486,0.026943227276206017,0.007719364482909441
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.00029568534228019416,0.9987860321998596,0.0003511350369080901,0.00010060186468763277
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.0125543512403965,0.9818537831306458,0.003125025425106287,0.0010969870490953326
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.18203850090503693,0.13318221271038055,0.088718481361866,0.5876274704933167
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,True,0.1836227923631668,0.18651443719863892,0.16982333362102509,0.45447078347206116
