0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,True,0.012529060244560242,0.9646841883659363,0.012726363725960255,0.006499990820884705
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,True,0.9963895678520203,0.0006544326315633953,0.0006647384143434465,0.000355808821041137
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.15710507333278656,0.38281041383743286,0.2590225040912628,0.17802338302135468
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.5550119876861572,0.3997601866722107,0.03333106264472008,0.008694927208125591
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.06201323866844177,0.511180579662323,0.32492613792419434,0.0990968644618988
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,True,0.026329748332500458,0.8450952172279358,0.05155113711953163,0.07269875705242157
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,True,0.271066814661026,0.32189980149269104,0.017601609230041504,0.35353776812553406
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,False,0.8807580471038818,0.07576662302017212,0.022396573796868324,0.0182795487344265
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.1517418622970581,0.21736018359661102,0.38748645782470703,0.2313787192106247
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,False,0.9296602606773376,0.04021316021680832,0.017567826434969902,0.009551462717354298
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.2636156976222992,0.3659941256046295,0.13464172184467316,0.22903327643871307
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,True,0.9940144419670105,0.001859860960394144,0.0006735969800502062,0.0017471776809543371
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,True,0.6667747497558594,0.19103416800498962,0.09456877410411835,0.04329673945903778
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,True,0.007374108303338289,0.01072926539927721,0.013145770877599716,0.9658176302909851
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.5800864696502686,0.3203541338443756,0.03483689948916435,0.05743633583188057
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,True,0.9856361150741577,0.006142072379589081,0.00485877925530076,0.0021900234278291464
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,1.0/64,1.0/32,1.0/128,1.0/256,A,False,0.2914005517959595,0.4443327486515045,0.14201728999614716,0.11411409080028534
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,False,0.8269334435462952,0.0678788274526596,0.04314640909433365,0.04966121166944504
