0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,False,0.13773785531520844,0.42426246404647827,0.3744103014469147,0.05478833243250847
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,True,0.224587082862854,0.049335233867168427,0.04353819042444229,0.6810519099235535
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.9701518416404724,0.010947133414447308,0.002641118597239256,0.01568104326725006
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.09646221250295639,0.13603352010250092,0.6096599102020264,0.15414616465568542
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,True,0.04366931691765785,0.7271594405174255,0.039761368185281754,0.18674999475479126
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.07396325469017029,0.06326412409543991,0.6002333164215088,0.2581571340560913
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,True,0.0011968183098360896,0.0024176391307264566,0.9907047152519226,0.004587873350828886
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,True,0.040936585515737534,0.11661747097969055,0.04357676953077316,0.7969358563423157
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,True,0.9930177927017212,0.00296906940639019,0.0012970904354006052,0.002241171197965741
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,True,0.0012595984153449535,0.964314877986908,0.004607419483363628,0.028668327257037163
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.002997513161972165,0.0027292666491121054,0.9869880676269531,0.0058688451535999775
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.07845423370599747,0.36848145723342896,0.519642174243927,0.030246799811720848
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.005732978694140911,0.0042603882029652596,0.008472793735563755,0.9793217778205872
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,False,0.11454682052135468,0.10593848675489426,0.701684296131134,0.07512163370847702
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,True,0.11023983359336853,0.03061249665915966,0.06791678816080093,0.7895066738128662
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,True,0.8380515575408936,0.11341794580221176,0.023773694410920143,0.02340511791408062
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A,True,0.7576149106025696,0.21706031262874603,0.011503774672746658,0.012055853381752968
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,True,0.028578342869877815,0.08014994859695435,0.1806207001209259,0.7032934427261353
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A,False,0.017448103055357933,0.057210128754377365,0.6650458574295044,0.2563980221748352
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D,False,0.5163637399673462,0.21525241434574127,0.05977344140410423,0.20539529621601105
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C,True,0.00036114262184128165,0.0005421392852440476,0.9956468939781189,0.0025068270042538643
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A,False,0.22911863029003143,0.15995058417320251,0.11886517703533173,0.48504412174224854
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward:",rationalism.,empiricism.,relativism.,absolutism.,C,True,0.27307403087615967,0.2194211483001709,0.3094334304332733,0.19363850355148315
Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations:,why should we bother? and what are the consequences of our believing one thing over another?,what do you mean? and how do you know?,who really believes X? and how can we explain differences in people's beliefs?,how do philosophers argue? and are their differences important?,B,True,0.3796447813510895,0.5880053043365479,0.007636856287717819,0.017480937764048576
Epictetus claims that things within our power are __________ and things not in our power are __________.,free and unhindered; free and unhindered,free and unhindered; servile and subject to hindrance,servile and subject to hindrance; free and unhindered,servile and subject to hindrance; servile and subject to hindrance,B,True,0.10448433458805084,0.8218330144882202,0.026833796873688698,0.04493815824389458
Hume divides our perceptions into two categories:,sensations and emotions.,impressions and ideas.,static and dynamic.,simple and complex.,B,True,0.1650133728981018,0.8250150084495544,0.005917425733059645,0.0023908563889563084
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form:",would likewise be destroyed.,would be destroyed only if there were no one around to remember the species.,would continue existing (as with Plato's Forms) in some other realm of being.,"would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things.",A,False,0.016695961356163025,0.015684405341744423,0.0784170851111412,0.883522629737854
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not?","Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living.","Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not.","Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.","Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own.",C,True,0.0187311302870512,0.046359989792108536,0.8747488856315613,0.0568014495074749
"""There is no rationale for myth because it is through myth that reason itself is defined.""  This means that:","mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking.","myth does not ""explain"" how things are related as much as it simply reveals them as related.",metaphysicians are justified in reasoning as they do because there is only one true answer about being.,"myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth.""",B,False,0.6706075668334961,0.2585422396659851,0.019936637952923775,0.04635407403111458
"According to Epicurus, a law is unjust when:",it is not in accordance with natural law.,it is not in accordance with the traditions of society.,it is offensive to the gods.,it is not beneficial to those it affects.,D,True,0.005156077444553375,0.0032265903428196907,0.008239388465881348,0.9825744032859802
Leo Tolstoy says that art is _____.,expression,form,representation,abstract,A,True,0.941789984703064,0.02357725240290165,0.015222616493701935,0.012042080983519554
Aquinas holds that the last end of man is:,pleasure.,happiness or beatitude.,the satisfaction of desire.,freedom from anxiety.,B,True,0.0011222291504964232,0.988874077796936,0.0031969330739229918,0.005699150264263153
"According to Kant, the supreme principle of morality is:",analytic and a priori.,analytic and a posteriori.,synthetic and a priori.,synthetic and a posteriori.,C,True,0.10834230482578278,0.10020025819540024,0.7176060676574707,0.07217153906822205
Epicurus claims that all other virtues spring from:,prudence.,temperance.,justice.,courage.,A,True,0.36026298999786377,0.15986573696136475,0.2515040934085846,0.22195160388946533
"According to Butler, it is impossible to:",approve of the actions of others without imitating them.,do something of which one does not oneself approve.,be motivated by genuine benevolence.,do that which is good and not to approve of it.,D,False,0.8060873746871948,0.11612790077924728,0.01986714079976082,0.05571877583861351
"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",the argumentative method,the philosophical method,propositional logic,syllogistic reasoning,B,True,0.0009094332344830036,0.9973146319389343,0.0008280483889393508,0.0002565174363553524
"According to Mill, to determine whether one pleasure is more valuable than another, we must _____.",determine which one is objectively most pleasurable,determine which pleasure most experienced people prefer,consult philosophers of the past,consult science,B,False,0.9760785102844238,0.00987289473414421,0.003106644144281745,0.010346704162657261
"According to Hobbes, the definition of injustice is _____.",disobedience to a sovereign,disobedience to God's law,failure to abide by a contract,failure to respect inherent rights,C,True,0.01447870209813118,0.017464647069573402,0.8818780183792114,0.08463127166032791
Kant claims that the natural purpose of reason is to:,produce happiness.,produce pleasure.,produce knowledge.,produce a good will.,D,True,0.0006909854710102081,0.0007018668693490326,0.00939087476581335,0.9883021712303162
Hare claims that the two essential features of the logic of moral judgments are:,consequentialism and hedonism.,universalizability and prescriptivity.,contractualism and rule-following.,consistency and coherence.,B,True,0.0012162690982222557,0.9911967515945435,0.0036882904823869467,0.0031058520544320345
Mill defines “utility” as:,usefulness for some craft.,usefulness to society.,pleasure and the absence of pain.,it promotes the interests of all and does not harm anyone.,C,False,0.0023788856342434883,0.959710955619812,0.011709284968674183,0.023286694660782814
"To Kant, making a lying promise would be wrong because _____.",lying to people can cause them harm,lying to people harms society,you could not consistently will that everyone should make lying promises,most people condemn the practice,C,True,0.014592338353395462,0.012287980876863003,0.9314538240432739,0.04029073938727379
How does Stevenson respond to the objection that his theory does not account for the kind of goodness that is objective and is known a priori?,He claims to have proven that such a property does not exist.,He claims to have offered an account of just such a property.,He claims he does not understand such a property.,None of the above.,C,False,0.08234599232673645,0.8580648899078369,0.03770074248313904,0.020497536286711693
Wolf claims that interpreting Kant’s ethics so that it consists of a finite set of constraints:,yields an unattractive picture of moral sainthood.,implausibly places an “upper bound” on moral worthiness.,yields a theory that is too demanding.,transforms the theory into a form of contractarianism.,B,False,0.5597590208053589,0.23701688647270203,0.07939071208238602,0.11917956918478012
The famous statement “An unexamined life is not worth living” is attributed to _____.,Aristotle,John Locke,Socrates,Plato,C,True,0.001802679616957903,0.0006949948729015887,0.31278756260871887,0.0004085664404556155
Paley maintains that the key difference between the “contrivance” of a watch and that of nature is that the latter is _____.,simpler,more natural,older,greater and grander,D,False,0.012135140597820282,0.9343540072441101,0.016586769372224808,0.03566715866327286
"Concerning the relationship between morality and theology, Bentham claims that:",we must first know whether something is right before we can know whether it conforms to God’s will.,we must first know whether something conforms to God’s will before we can know that it is right.,"God exists, but does not concern himself with matters of morality.",God does not exist.,A,False,0.32673993706703186,0.400330126285553,0.06742659211158752,0.20129862427711487
"For the soft determinist, to say that you could have done otherwise is to say that you would have done otherwise if _____.",your desires were always the same,your desires were completely under your control,your desires had been different,your desires played no role in your decisions,C,True,0.019429165869951248,0.019429165869951248,0.8133409023284912,0.14582400023937225
"According to Ross, our prima facie duties:",can be proven.,are self-evident.,cannot be known.,are not objective.,B,True,0.050902437418699265,0.9309082627296448,0.010181127116084099,0.0071075716987252235
"According to Rawls, behind the veil of ignorance, the principles of justice are _____.",the result of coercion,impractical,chosen arbitrarily,the result of a fair agreement or bargain,D,True,0.00558812078088522,0.0031346518080681562,0.005332221742719412,0.9848782420158386
"In Aquinas’s view, man’s ultimate happiness consists in:",pleasure,acts of the moral virtues.,loving God.,contemplating God.,D,False,0.0039714933373034,0.014527118764817715,0.7335473895072937,0.24570760130882263
Taurek claims that if faced with the choice between saving the life of X or the arm of Y:,Y is obligated to choose saving the life of X.,we are obligated to choose saving the life of X.,both a and b.,neither a nor b.,D,False,0.4212917387485504,0.09111073613166809,0.3896311819553375,0.08426365256309509
Wolf argues that the unattractiveness of the moral saint:,gives us reason to abandon utilitarianism.,gives us reason to abandon Kantianism.,both a and b.,neither a nor b.,D,False,0.1141476109623909,0.07603870332241058,0.7560575008392334,0.04758380725979805
