0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,True,0.00016084573871921748,0.9993104934692383,0.0001970723387785256,5.5586802773177624e-05
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,True,0.43688470125198364,0.48738011717796326,0.040006596595048904,0.03421945124864578
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,True,0.006991990376263857,0.9597187638282776,0.02943737991154194,0.0011776433093473315
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,True,0.13672509789466858,0.42114296555519104,0.3491398096084595,0.04875084012746811
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,False,0.00043405088945291936,0.00043405088945291936,0.005991887766867876,0.9920579791069031
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.036016300320625305,0.0120639493688941,0.017280809581279755,0.9288726449012756
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.0004625316651072353,0.9931033849716187,0.0028333498630672693,0.003063581883907318
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.17290140688419342,0.07207603007555008,0.24766981601715088,0.5003067851066589
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,True,0.02669437788426876,0.9708800911903381,0.0016540107317268848,0.00020702370966318995
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.1863112896680832,0.11659061908721924,0.2977246046066284,0.37635913491249084
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.07010821998119354,0.48664745688438416,0.32928216457366943,0.10858573019504547
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.2167624682188034,0.2236432284116745,0.45888611674308777,0.09770248830318451
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,True,0.13597726821899414,0.4188394546508789,0.3526982069015503,0.048484187573194504
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,True,0.09067033231258392,0.1404329538345337,0.639288067817688,0.11642301082611084
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,True,0.0748056173324585,0.16596351563930511,0.49547553062438965,0.2570493221282959
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,True,0.31911391019821167,0.233468696475029,0.33442848920822144,0.1068897694349289
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.39865773916244507,0.21007788181304932,0.22714832425117493,0.15611660480499268
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,False,0.5285518169403076,0.2135542333126068,0.15143263339996338,0.10087587684392929
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.10697100311517715,0.7085232138633728,0.11210466176271439,0.06906566768884659
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,True,0.07618626952171326,0.2920518219470978,0.5542169809341431,0.07500510662794113
Within which area of public relations is likely to involve lobbying?,Corporate,Financial relations,Public affairs,Business to business,C,True,0.019536856561899185,0.01474719401448965,0.9561624526977539,0.006647081114351749
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,Identification,Analysis,Strategy,Evaluation,B,False,0.013011450879275799,0.38025033473968506,0.5708233118057251,0.03121284767985344
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider the comprehension level of all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider which mediums would most effectively reach all of the target audiences.,Consider the geographic locations where all of the target audiences live and work.,B,False,0.9947874546051025,0.0016684652073308825,0.0011647763894870877,0.001981351524591446
A book launch would be what kind of common tactic?,Competition,Event,Award,Sponsorship,B,True,0.0006639186176471412,0.9951607584953308,0.0015197248430922627,0.0006236937479116023
Newsletters generally fall in to which writing category?,Media writing,Personal writing,Business writing,Promotional writing,D,False,0.0051468005403876305,0.01356001477688551,0.9656006097793579,0.013773552142083645
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,situation interview,communication audit,stakeholder analysis,D,True,0.0001351967075606808,0.00028621143428608775,0.0010306868935003877,0.997473418712616
Which of the following Internet-related challenges is most significant in the public relations field?,Representing clients using new social media environments,"Finding stable, cost-effective Internet providers",Training staff to use social media,Staying abreast of changing technology,D,False,0.7848356366157532,0.06342444568872452,0.0624411404132843,0.08669093251228333
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,Workforce development,Impact on local communities,Impact on the environment,Financial performance,D,False,0.40519097447395325,0.18550994992256165,0.2699154019355774,0.13572198152542114
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,consumer relations,community relations,B,True,0.0002375896438024938,0.9987851977348328,0.0003917190770152956,8.083580178208649e-05
