0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,False,0.18833179771900177,0.27833637595176697,0.33053264021873474,0.1056445762515068
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,False,0.47082284092903137,0.03203989565372467,0.03745843470096588,0.3724515438079834
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,True,0.0949309915304184,0.7237168550491333,0.06627251207828522,0.11098557710647583
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,False,0.010347336530685425,0.04494677856564522,0.9169968962669373,0.025609903037548065
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,True,0.18928378820419312,0.45406821370124817,0.23927715420722961,0.10453244298696518
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,True,0.8555819392204285,0.07713305205106735,0.0297374427318573,0.033174511045217514
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,True,0.0208970308303833,0.5305860042572021,0.11474727839231491,0.32688456773757935
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,True,0.01342946756631136,0.9713640809059143,0.0080191008746624,0.004714186768978834
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,False,0.0976080372929573,0.40457403659820557,0.24925082921981812,0.24538655579090118
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.47140756249427795,0.16808556020259857,0.2771261930465698,0.07939799129962921
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,True,0.057430487126111984,0.037663839757442474,0.817969799041748,0.06927439570426941
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,False,0.5810557007789612,0.24990896880626678,0.0978657528758049,0.06726208329200745
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,False,0.8391494750976562,0.07218727469444275,0.0678136795759201,0.01561159361153841
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,True,0.6474035978317261,0.22026799619197845,0.021138476207852364,0.10735003650188446
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,False,0.3320881128311157,0.3218708336353302,0.03186953067779541,0.307131290435791
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,True,0.8743261694908142,0.07882289588451385,0.020243395119905472,0.022938769310712814
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,False,0.001315179979428649,0.002036990597844124,0.9912567138671875,0.0025350756477564573
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,False,0.9906434416770935,0.0041770474053919315,0.0016876799054443836,0.0022358126007020473
