0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.18082331120967865,0.022160163149237633,0.019133921712636948,0.7605978846549988
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.1531052440404892,0.1157914325594902,0.5716023445129395,0.1396855264902115
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.29216906428337097,0.3673858940601349,0.07339774817228317,0.2611887753009796
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.18206758797168732,0.22041107714176178,0.369332492351532,0.22392304241657257
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.18970587849617004,0.09908922761678696,0.49327927827835083,0.1889788806438446
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.3959195017814636,0.41220343112945557,0.0988718569278717,0.08577954024076462
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.13466674089431763,0.11326587945222855,0.4263356626033783,0.2907024025917053
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.3749633729457855,0.019461072981357574,0.018814420327544212,0.519622802734375
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.0884396955370903,0.3853761851787567,0.31594061851501465,0.20313282310962677
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.3715837597846985,0.22800056636333466,0.22874584794044495,0.16045424342155457
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.10731654614210129,0.48884281516075134,0.23745177686214447,0.15722498297691345
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.23984630405902863,0.23578758537769318,0.3788391053676605,0.13290439546108246
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.07088128477334976,0.28503820300102234,0.4866081178188324,0.11604365706443787
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,True,0.1824544370174408,0.12512898445129395,0.23520921170711517,0.4262981414794922
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.1605299860239029,0.22490476071834564,0.21148166060447693,0.36973389983177185
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.09434141963720322,0.3141557574272156,0.39969170093536377,0.1778421401977539
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.12586021423339844,0.14110147953033447,0.30379050970077515,0.4093690812587738
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.10374808311462402,0.5168392658233643,0.1748887300491333,0.18253348767757416
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.5115398168563843,0.11717656999826431,0.07967903465032578,0.2636749744415283
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.20700770616531372,0.21615290641784668,0.37150150537490845,0.19257113337516785
