0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.9883183240890503,0.003820287063717842,0.0016243048012256622,0.005440078675746918
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,True,0.026279041543602943,0.8662876486778259,0.051202911883592606,0.054284024983644485
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,True,0.00038398546166718006,0.001438595587387681,0.0009926408529281616,0.9965883493423462
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.9292276501655579,0.010870787315070629,0.010337622836232185,0.047497496008872986
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,False,0.995559573173523,0.0003521911858115345,0.0004761040327139199,0.002856684383004904
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.07940765470266342,0.18857528269290924,0.5324879884719849,0.19100788235664368
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.026618340983986855,0.010957261547446251,0.06305204331874847,0.8917158246040344
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,True,0.14036202430725098,0.14149150252342224,0.2543626129627228,0.45325058698654175
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.14630213379859924,0.23786891996860504,0.5129063129425049,0.10032276809215546
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,True,0.03880423679947853,0.9155360460281372,0.014595398679375648,0.02406993880867958
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,False,0.5117083787918091,0.18449193239212036,0.2056225687265396,0.08633877336978912
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.0008609644137322903,0.0022250977344810963,0.9939715266227722,0.001972801750525832
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,False,0.18770544230937958,0.16456928849220276,0.37253931164741516,0.2667318284511566
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,False,0.5383773446083069,0.39275476336479187,0.0471232645213604,0.01574375480413437
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,False,0.43569818139076233,0.06731921434402466,0.18718856573104858,0.29873475432395935
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.47734200954437256,0.33459436893463135,0.06842053681612015,0.11662992089986801
All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,False,0.42608994245529175,0.29409247636795044,0.14069674909114838,0.13608838617801666
Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,True,0.5843196511268616,0.3060750365257263,0.056724876165390015,0.050423767417669296
Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,True,0.007828810252249241,0.0611475370824337,0.021081380546092987,0.8961021900177002
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,False,0.25615382194519043,0.10485877841711044,0.26516711711883545,0.3644285500049591
Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,False,0.7482542991638184,0.21741409599781036,0.016113443300127983,0.01620430126786232
A fetus with the genotype XXY will most likely,result in a miscarriage.,suffer from sterility as an adult.,be color blind.,grow into a depressed adult.,B,False,0.0912691280245781,0.1471017748117447,0.4347849488258362,0.3185946047306061
"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,False,0.2048341929912567,0.08456052839756012,0.29516327381134033,0.4027130603790283
"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,D,False,0.24744629859924316,0.1899927258491516,0.48503848910331726,0.07147634774446487
