0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.9871348738670349,0.0022500017657876015,0.005304720252752304,0.004066037014126778
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.5877150297164917,0.2087325006723404,0.07136240601539612,0.12478972971439362
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,False,0.24095430970191956,0.26774221658706665,0.3873938322067261,0.09842453896999359
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,True,0.900447428226471,0.028734322637319565,0.022354893386363983,0.04513479396700859
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.026511283591389656,0.02039160020649433,0.9195782542228699,0.030283190310001373
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,True,0.21720629930496216,0.09043528139591217,0.1667759269475937,0.33069631457328796
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.2460908740758896,0.22842535376548767,0.3458239734172821,0.17257188260555267
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.10117437690496445,0.09793353080749512,0.6509215831756592,0.13883182406425476
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,True,0.7593583464622498,0.07520142197608948,0.024176515638828278,0.1369614452123642
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,True,0.07533702254295349,0.09084849059581757,0.6601982116699219,0.16688859462738037
One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,False,0.17478549480438232,0.1367403268814087,0.18594998121261597,0.4920687675476074
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,False,0.003242200706154108,0.9780202507972717,0.011212233453989029,0.005981785710901022
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,False,0.2862433195114136,0.10368885844945908,0.4423970878124237,0.15682776272296906
That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,True,0.4838889539241791,0.24297656118869781,0.1177755743265152,0.1479817032814026
A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,True,0.03482922911643982,0.9399359822273254,0.01366856787353754,0.009224515408277512
Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,False,0.02906542643904686,0.03364158794283867,0.9052464365959167,0.024126484990119934
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,False,0.2905552089214325,0.4677368998527527,0.13212136924266815,0.10440365225076675
Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,True,0.3717390298843384,0.39629876613616943,0.1016041487455368,0.12371422350406647
Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,True,0.8846694231033325,0.05932525545358658,0.022931329905986786,0.027427885681390762
The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,True,0.01830448769032955,0.8316576480865479,0.09315593540668488,0.0505235381424427
High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,True,0.21360482275485992,0.10363256186246872,0.33200520277023315,0.29235437512397766
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,D,False,0.27500101923942566,0.23976361751556396,0.32412680983543396,0.1335465908050537
"Which of the following is more likely to be a cohort, rather than an age, difference?",A higher proportion of older women have completed menopause,A smaller proportion of older women report dreams about sex,A higher proportion of older men are bald,A higher proportion of older men and women are victims of cancer,B,False,0.5954611301422119,0.19502262771129608,0.1371689736843109,0.06482753902673721
Fear of aging has been associated with high levels of,Introversion,Neuroticism,Rigidity,Mid-life crisis,B,True,0.1498349905014038,0.6236626505851746,0.11515515297651291,0.0966125875711441
In which dementia are cognitive symptoms less likely?,Parkinson's,Pick's,Huntington's,NeuroAIDS,A,False,0.13633932173252106,0.15005366504192352,0.4904666543006897,0.20789939165115356
"In this chapter's Senior View, Dr. Shealy advises you to",Stay in school,Eat the right foods,Get plenty of exercise,Find a high paying job,A,False,0.11563898622989655,0.05443428084254265,0.6998922228813171,0.10682646185159683
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",Emotional,Instrumental,Informational,Friendly,A,True,0.7572845816612244,0.07264889776706696,0.1291712075471878,0.02555811032652855
Hearing loss occurs more frequently for,Men than women,Women than men,People who already have some loss of vision,People who are obese,A,True,0.41650792956352234,0.31316739320755005,0.08883083611726761,0.15966831147670746
Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B,True,0.09143766760826111,0.6799870729446411,0.07483906298875809,0.1429179608821869
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,Coping strategies,Work productivity,Rates of dementia,Personality traits,D,False,0.34109142422676086,0.37219980359077454,0.19070680439472198,0.0855211690068245
"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",Stay away from other people for a while,Get out and be active,Talk about your loss,Make new friends who don't know about your loss,C,True,0.0063311997801065445,0.005799959879368544,0.9743266105651855,0.010996086522936821
Social support is most likely to have a positive influence on health and well being when it is,Very emotional,Perceived as support,Unexpected,External rather than internal,B,False,0.10502974689006805,0.09042877703905106,0.3319483995437622,0.44616594910621643
Free radicals are produced by,Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A,True,0.5221869945526123,0.11206913739442825,0.07834422588348389,0.27065759897232056
Prejudice or bias against older adults is referred to as,Ageism,Oldism,Age bigotry,Senilism,A,True,0.9896864295005798,0.0019290726631879807,0.004664619918912649,0.0026828330010175705
"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",Euthanasia,Cryonics,Medicare,Hospice,D,True,0.0003847175103146583,0.0068410891108214855,0.023549968376755714,0.9661100506782532
Loss of smell for adults 80 and older is,Very infrequent (less than 15%),Very frequent (more than 75%),Infrequent (less than 40%),Frequent (close to 50%),B,False,0.38086143136024475,0.2745451033115387,0.09367367625236511,0.2446320503950119
Activation of a class of genes called sirtuins may help to,Prevent some diseases,Ward off dementias,Increase memory and intelligence,Produce emotional stability,A,True,0.8057288527488708,0.13137440383434296,0.02006814442574978,0.03475091606378555
Elder abuse most frequently comes from the older adult's,Spouse,Children,Grandchildren,Neighbors,B,False,0.10246511548757553,0.24714882671833038,0.3255961835384369,0.22057722508907318
Projective tests generally ___ than objective tests of personality.,Have higher reliability,Are more visual,Are more valid,Provide more information,B,False,0.08779028803110123,0.07340794056653976,0.7144917249679565,0.11602229624986649
Cells in the eye that respond to low levels of illumination are called,Rods,Cones,Retinal cells,Nocturnal detectors,A,False,0.11003334075212479,0.8522010445594788,0.02741146832704544,0.006140966899693012
Some work on age stereotypes suggests that,Positive ones are stronger,Negative ones are stronger,They never last very long,They are very rare,B,True,0.21448807418346405,0.3149239420890808,0.21848954260349274,0.22594903409481049
Which of the following could very well be a cohort difference rather than a change that occurs with age?,Differences in weight,Shrinkage of the thymus gland,Enlargement of the heart,Increasing size of nose and ears,A,True,0.3938755989074707,0.2771974802017212,0.18772760033607483,0.13215242326259613
The major question concerning aging and personality is:,Do older adults still have personalities?,Does personality change with age?,Does personality decline as we grow older?,Does personality increase of decrease with age?,B,True,0.1069801077246666,0.39310339093208313,0.3799334168434143,0.10968054085969925
A researcher who wants to examine both age and cohort differences is advised to use a _____ design.,Cross-sectional,Cross-sequential,Correlational,Quasi-experimental,B,False,0.9495591521263123,0.007790008559823036,0.026095662266016006,0.003206099383533001
Which of the following is NOT one of the most rewarding aspects of being a grandparent as reported by grandparents?,Feelings of immortality,Spoiling the grandchildren,Having others to wait on you,Remembering when they were grandchildren,C,False,0.38521093130111694,0.17906217277050018,0.24274243414402008,0.18862083554267883
"Of the following animals, which has the longest life span by current measures?",Gorilla,Blue whale,Dog,Queen honey bee,B,True,0.09027048200368881,0.5476291179656982,0.1332501322031021,0.22428832948207855
One advantage of an expected death over an unexpected death is that,One can use up some grief before the actual loss,One can make funeral and estate plans with the loved one,One can find ways to avoid having the same death for themselves,One can assist the terminally ill person in speeding their death,B,True,0.20426073670387268,0.6130730509757996,0.07905247062444687,0.09377888590097427
Changes in the reproductive system are more _____ for men but not for women,Mechanistic,Continuous,Organismic,Nurturant,B,False,0.3426317572593689,0.15612320601940155,0.39339831471443176,0.08240416646003723
Which of the following hormones has not yet been claimed to ward off senescence?,DHEA,Human growth hormone,Melatonin,Viasterol,D,False,0.25225377082824707,0.17157123982906342,0.34841275215148926,0.21781332790851593
The majority of older widows live,Alone,With children,With a friend,In an institution,A,True,0.6526226997375488,0.09605368226766586,0.11407679319381714,0.12260452657938004
Centenarians are people who,Were born before the centennial,Study old age and older adults,Are 100 or more years old,Have not yet reached old age,C,True,0.0009547103545628488,0.001417449675500393,0.9828125834465027,0.013528527691960335
Quantitative analyses of TV shows have shown that,Older adults are almost always portrayed in a negative way,The more positive portrayals occur during commercials,The proportion of older men is particularly low,The proportion of older women is particularly low,D,False,0.5288658738136292,0.09784098714590073,0.1023276224732399,0.24077022075653076
Which of the following groups of Americans have the lowest rate of alcohol abuse?,African-American,White,Native-American,Asian-American,D,True,0.19665491580963135,0.12377442419528961,0.27683427929878235,0.39277175068855286
"If you believe that changes occur slowly and steadily throughout life, you would be holding the _____ side of this view of development.",Mechanistic,Organismic,Continuity,Stability,C,False,0.38915571570396423,0.5672569870948792,0.02112571708858013,0.0054656038992106915
"All other things being equal, which of the following persons is likely to live the longest?",A black man,A white man,A black woman,A white woman,D,True,0.1791427731513977,0.13966163992881775,0.31611549854278564,0.35420140624046326
"Which of the following age differences could be, in part, a cohort effect? Differences in",Depression,Alcoholism,Dementia,Suicide,B,False,0.32788288593292236,0.1685640960931778,0.3647577464580536,0.10491146147251129
"Clifford and Lucia Pauling, in Senior View, told us that physical changes",Are rapid and frightening,Can be offset by meditation,Take a long time,Should not be discussed in public,C,True,0.1435682326555252,0.13674341142177582,0.5507932901382446,0.1410222202539444
The biggest and most dangerous changes in the cardiovascular system take place in the,Heart,Blood vessels,Red blood cells,Plasma,B,True,0.04734865203499794,0.9300546050071716,0.01262728776782751,0.004278783220797777
Older adults generally perform very well when their _____ memory is tested.,Episodic,Working,Retrospective,Semantic,D,False,0.4397643506526947,0.3961544334888458,0.07026057690382004,0.015462426468729973
"With respect to marital satisfaction, most long lasting marriages",Show high satisfaction through all the years of marriage,Show high satisfaction that steadily declines as the years pass,Show lower levels during the years when children are present,Show ups and downs throughout the marriage,C,False,0.16793736815452576,0.47152048349380493,0.09348316490650177,0.2539028227329254
Theories,Are not very important in aging research,Attempt to explain findings and guide future research,Have never been adequately tested,Have been around for a long time but have only recently been tested,B,True,0.06597839295864105,0.7915614247322083,0.02515910193324089,0.1123519092798233
The least favored theory of senescence among researchers is the _____ theory,Free radical,Biological clock,Wear and tear,Garbage accumulation,C,True,0.13393352925777435,0.15529896318912506,0.5967484712600708,0.10635387897491455
A researcher finds that age is negatively correlated with cigarette smoking; this means that,Older adults experience more negative effects from smoking that do younger adults,Older adults smoke more than younger adults,Older adults smoke less than younger adults,Older and younger adults smoke about the same number of cigarettes and both experience negative effects,C,True,0.0775856003165245,0.05929300934076309,0.7950388789176941,0.0635855495929718
"When a researcher takes part in the situation he or she is observing, he or she is said to be a(n)",Active observer,Participant observer,Indiscreet observer,Meddling observer,B,True,0.3639812469482422,0.5773099660873413,0.03858805075287819,0.017162548378109932
"The term ""work-family conflict"" for middle-aged adults can occur when they must",Care for an ailing parent while continuing to work,Work a high stress job while their children are at home,Pay for nursing home care by sacrificing their own care,Serving as an executor of their parent's estate while still working full time,A,True,0.6759049296379089,0.12065539509057999,0.05906441807746887,0.12984071671962738
Do traits change with age?,No,They change a little,Only for women,They change quite a lot,B,True,0.2678094804286957,0.4790428876876831,0.1161554679274559,0.10630235075950623
The cause of Alzheimer's appears to be,Mostly environmental,Aluminum,Mostly genetic,Apo-E 4,C,True,0.05286583676934242,0.04521733894944191,0.7295064926147461,0.15768051147460938
Older married men have been found to have,Higher levels of positive emotions,Lower levels of positive emotions,Higher levels of negative emotions,Lower levels of negative emotions,D,False,0.3404512405395508,0.26530808210372925,0.29431918263435364,0.0949888676404953
"Within the United States, which location has the longest life expectancy?",California,Florida,Alaska,Hawaii,D,False,0.163875013589859,0.4536910057067871,0.20956453680992126,0.16669712960720062
The largest proportion of older adults living alone reside in,Hawaii,"Washington, DC",Florida,California,B,False,0.0763222798705101,0.09348133206367493,0.613594651222229,0.2086070328950882
Which level of personality description appears to show the most change with age?,Traits,Personal concerns,Coping strategies,Identity,B,False,0.31634649634361267,0.19052232801914215,0.3507779538631439,0.1325152963399887
The positive relationship between religion and physical health is NOT thought to be due to,Social support derived from a religious community,The rules of some religions which forbid unhealthy behaviors,The stress reducing effects of prayerful meditation,The benefits of knowing that others are praying for you,D,False,0.34922730922698975,0.1540583223104477,0.18949785828590393,0.2936691343784332
Human factors examines the performance of different tasks by examining,The factors that influence performance,The interaction between human and environment,The human side of the equation,The effects of environmental changes on humans,B,False,0.9109126329421997,0.042206984013319016,0.015514676459133625,0.028601137921214104
Prospective memory refers to memory,For some recent event,For something that happened a long time ago,To do something in the future,For the context and source of remembered information,C,True,0.0018681979272514582,0.0012117289006710052,0.9935063123703003,0.0020482714753597975
The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,Prevalence,Incidence,Incipient,Diseased,A,True,0.9957244396209717,0.0009275618940591812,0.0011262914631515741,0.0004636746016331017
Remarriages are,More frequent for woman than men,Typically more successful,Typically less successful,Most common among those who have never been married before,C,True,0.28938573598861694,0.2472260445356369,0.33377984166145325,0.11328508704900742
"With respect to job training, younger workers",Receive more opportunities than older workers,Perform better on the job than trained older workers,Always learn faster than older workers,Prefer to have classes by themselves,A,True,0.44834259152412415,0.22902549803256989,0.11665638536214828,0.1437511295080185
About how many grieving individuals seem to require some professional help?,Less than 10%,About 25%,Nearly half,More than 50%,B,False,0.07425519078969955,0.31173285841941833,0.5067254304885864,0.09892833977937698
People with which of the following forms of control are least likely to have accessibility problems where they live?,External,Internal,Primary,Total,B,False,0.24773764610290527,0.20158107578754425,0.4127214848995209,0.11739654839038849
Which of the following has been found to improve balance for older adults?,Tai chi,Aerobic exercise,Weight lifting,Walking briskly,A,True,0.7152344584465027,0.12224065512418747,0.06672031432390213,0.09146378189325333
The most frequent chronic condition for older adults is,Hypertension,Arthritis,Diabetes,Cataracts,B,False,0.18109582364559174,0.2578667104244232,0.4086743891239166,0.14461784064769745
Hypokinesia refers to,Severe obesity,Loss of muscle strength and bone density,Increased sensitivity to stress,Social isolation and lack of support,B,True,0.0027633479330688715,0.9903870224952698,0.0028609693981707096,0.002635889919474721
What percentage of older adults report feeling very or often lonely?,10%,25%,50%,75%,A,False,0.02478846162557602,0.04487933963537216,0.7145718336105347,0.18999530375003815
An example of a discontinuous change over the adult years is the change in,Personality,Working memory,Female hormone levels,Male sexuality,C,True,0.3056677281856537,0.1084543764591217,0.47309252619743347,0.1028163954615593
Which leg of the three-legged stool do most retirees have,Pension,Social security,Savings,Assets,B,True,0.20359115302562714,0.43998804688453674,0.2954176962375641,0.025505082681775093
One of the most important points made in this chapter is that physical changes,Occur for everyone,"Occur more for some and less for others and, within the same person, more for some systems and less for others",Usually occur for very old people but not for very young people,Can be totally avoided if one learns enough about gerontology,B,True,0.02323802188038826,0.9011214375495911,0.020218677818775177,0.05165551230311394
Which of the following forms of dementia has the highest prevalence rate?,Alzheimer's,Vascular,Parkinson's,Fronto-temporal lobe,A,True,0.908400297164917,0.044440314173698425,0.016478033736348152,0.026433423161506653
High levels of social support are strongly associated with,Longevity,Internal control,Culture,Education,A,True,0.9477698802947998,0.021210573613643646,0.010619672015309334,0.01795714534819126
"The term ""cohort"" refers to",An individual's chronological age,A generation of people who lived through major events,A person's gender,A group of people living in the same culture,B,True,0.0031206216663122177,0.9823870658874512,0.006443849299103022,0.006934317760169506
Middle-aged adults appear to be more ____ than older or younger adults,Generative,Neurotic,Agreeable,Certain,A,False,0.32009172439575195,0.061049338430166245,0.550467312335968,0.0257324930280447
Which of the following improves attitudes toward aging and older adults?,Staying away from older adults,Education about older adults,Travelling to older communities,Watching the portrayals of older adults in movies and on TV,B,True,0.007827305234968662,0.8769117593765259,0.033997152000665665,0.07809890806674957
A problem for immune system theories of senescence is,Determining what first causes the senescence in the immune system,Auto-immune disorders are far too rare,That the immune system does not decline with age,The lack of information about senescence in general,A,False,0.15074360370635986,0.15166760981082916,0.5179738402366638,0.16781064867973328
Those more likely to experience depression after a loss are those who,Are young survivors,Have not previously experienced depression,Have been married more than 40 years,Are in poor health themselves,A,False,0.2445358783006668,0.30387505888938904,0.1680765002965927,0.2631204426288605
Which of the following appears to lower bad cholesterol?,Vitamin D,Niacin,Thiamine,Riboflavin,B,False,0.5427907705307007,0.14845046401023865,0.15921732783317566,0.1449466347694397
Most people who have used physician assisted suicide have had,Alzheimer's,Health insurance,No family,Clinical depression,B,False,0.41197291016578674,0.1265028566122055,0.1706482172012329,0.27391698956489563
A researcher who is interested in the differences between two or more groups of people is most likely to use which of the following approaches?,Quasi-experimental,Longitudinal,Correlational,Cross-sequential,A,False,0.213380366563797,0.13231335580348969,0.2294548600912094,0.41809576749801636
Being in bright light during the later parts of the day seems to,Restore normal circadian rhythm,Increase insomnia,Restore deep sleep,Have no real influence on sleep or dreams,A,True,0.8582984209060669,0.058907151222229004,0.03711657598614693,0.04225534573197365
A major reason for studying human aging is that,We are all growing older,The number and proportion of older adults is increasing,More job opportunities are available for those with some knowledge of aging,All of the above,D,False,0.2868967652320862,0.6161794066429138,0.01181513536721468,0.044470351189374924
The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,Consistency,Convoy,Attachment,Train,B,False,0.004947774112224579,0.006236596964299679,0.9757117033004761,0.010206051170825958
"When older and younger workers have lost their jobs, older workers typically",Find a job quicker because of their greater experience,Take longer to find a new job,Retire rather than search for a new job,Sue the company using the ADEA,B,True,0.1746954470872879,0.5595919489860535,0.13958200812339783,0.11748402565717697
Our social network refers to,Everyone we know,Those who are closest to us,Those who we have not yet met,Family members,B,True,0.04602350294589996,0.8567549586296082,0.047796208411455154,0.043155327439308167
