0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.021000895649194717,0.13286474347114563,0.4110005795955658,0.4297664165496826
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.06692031025886536,0.22198857367038727,0.5789231061935425,0.12938159704208374
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.0018033119849860668,0.005123976618051529,0.981433093547821,0.009685172699391842
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.05487152561545372,0.37122637033462524,0.12953384220600128,0.4409061372280121
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.346580445766449,0.17493531107902527,0.17846320569515228,0.28668317198753357
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.4412327706813812,0.525829017162323,0.020661424845457077,0.009987058117985725
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,True,0.014533501118421555,0.04539989307522774,0.04072842746973038,0.894890546798706
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.049440398812294006,0.5895918011665344,0.2857830822467804,0.06899941712617874
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.0036974442191421986,0.9938236474990845,0.0008193767862394452,0.00027662317734211683
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.1207905113697052,0.3373931646347046,0.4626586437225342,0.06285394728183746
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.015982450917363167,0.03550497815012932,0.8984026908874512,0.04733732342720032
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.0006070575909689069,0.993735134601593,0.0023218977730721235,0.0016264863079413772
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.026063280180096626,0.025957362726330757,0.13795380294322968,0.7998287081718445
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.7941745519638062,0.042889006435871124,0.08987096697092056,0.07083242386579514
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.46279749274253845,0.13481642305850983,0.16982589662075043,0.2259395867586136
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.19336868822574615,0.12592752277851105,0.3456577956676483,0.3263509273529053
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.020649032667279243,0.01165570504963398,0.9301897883415222,0.03540520370006561
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,True,0.12131284922361374,0.06703775376081467,0.5298939943313599,0.27753061056137085
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.21254068613052368,0.32175278663635254,0.3843318819999695,0.07264760881662369
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.39590954780578613,0.08842853456735611,0.12406201660633087,0.38114649057388306
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.0010870229452848434,0.0011673581320792437,0.0019313371740281582,0.9945670366287231
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.3722287714481354,0.11132931709289551,0.20234370231628418,0.30982106924057007
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.584564745426178,0.12261628359556198,0.058633770793676376,0.22819213569164276
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,True,0.1429269015789032,0.8105394840240479,0.03811432793736458,0.006600123830139637
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.003991830162703991,0.04492479935288429,0.07302036136388779,0.8759773373603821
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.10546412318944931,0.030966060236096382,0.04938838258385658,0.8019833564758301
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.9424279928207397,0.03172720596194267,0.01694614440202713,0.006720054894685745
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.0617363378405571,0.8829118609428406,0.03312130644917488,0.01962701976299286
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.016105135902762413,0.029079485684633255,0.8652011752128601,0.08654565364122391
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.06656278669834137,0.43646469712257385,0.30357664823532104,0.19057515263557434
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.32805967330932617,0.11278944462537766,0.13080210983753204,0.4091671407222748
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.004965601954609156,0.009579996578395367,0.31592774391174316,0.6658469438552856
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.0019900090992450714,0.00527648301795125,0.019905608147382736,0.9694643020629883
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.026905490085482597,0.9264237880706787,0.022586623206734657,0.014363832771778107
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.22144687175750732,0.1884312778711319,0.4000694751739502,0.18151110410690308
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.03160598501563072,0.9066336750984192,0.03589853644371033,0.01418544352054596
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.9792259931564331,0.007454312406480312,0.005734517239034176,0.006048338022083044
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.002724573714658618,0.9776290059089661,0.006450471468269825,0.011685576289892197
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.015703951939940453,0.02442806214094162,0.9541758298873901,0.003045389661565423
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.030178438872098923,0.9421530961990356,0.013377178460359573,0.00925513170659542
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.003034400986507535,0.9944039583206177,0.0008047174196690321,0.0003431074437685311
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.9958103895187378,0.0007161032408475876,0.0004797183210030198,0.001213237876072526
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.004647276364266872,0.008878693915903568,0.9438360333442688,0.04081660509109497
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.0019024275243282318,0.9744688868522644,0.011312889866530895,0.010959643870592117
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.9902471303939819,0.005059090908616781,0.002125560538843274,0.0010825739009305835
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.0005880804965272546,0.0014615918044000864,0.9807419776916504,0.015496908687055111
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.2610633075237274,0.2124158889055252,0.3949889540672302,0.12676844000816345
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.0635925829410553,0.16531290113925934,0.6497302651405334,0.1112639307975769
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.5003495812416077,0.29331174492836,0.09774339199066162,0.10391344130039215
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.15205498039722443,0.17166317999362946,0.3723718822002411,0.2979830205440521
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.024013692513108253,0.8664259910583496,0.030284615233540535,0.07628697901964188
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.9951733946800232,0.001746227964758873,0.0006154767470434308,0.0012569070095196366
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,True,0.29790613055229187,0.14011721312999725,0.4463178813457489,0.0909712016582489
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.00041021202923730016,0.001959084765985608,0.9925675392150879,0.003782629268243909
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.04949675872921944,0.05517004430294037,0.8076834678649902,0.07889309525489807
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.30748242139816284,0.15973779559135437,0.3972839415073395,0.12372595816850662
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.0026549508329480886,0.00650843745097518,0.9793186783790588,0.009887528605759144
