0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,True,0.009174720384180546,0.9589338898658752,0.01144319772720337,0.018246840685606003
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,True,0.9973520040512085,0.00035700606531463563,0.00035269069485366344,0.0005848589935339987
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.125361829996109,0.4055638909339905,0.29308387637138367,0.157558411359787
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.379251092672348,0.5492837429046631,0.048883456736803055,0.019105175510048866
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.11231302469968796,0.5159416794776917,0.2785022258758545,0.09123462438583374
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,True,0.031908486038446426,0.7987322807312012,0.061004117131233215,0.1038816049695015
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,True,0.010369928553700447,0.009624388068914413,0.0037661115638911724,0.9697903394699097
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,False,0.7805021405220032,0.10378260165452957,0.06572094559669495,0.04595760256052017
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.14482374489307404,0.2074987292289734,0.42579060792922974,0.2038983255624771
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,False,0.9447263479232788,0.027854284271597862,0.012711796909570694,0.012473801150918007
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.11464891582727432,0.1569892019033432,0.12407882511615753,0.5812166929244995
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,True,0.9790434837341309,0.00610338756814599,0.003072185441851616,0.009792684577405453
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,True,0.5548949241638184,0.1973021775484085,0.15501850843429565,0.07777533680200577
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,True,0.047771941870450974,0.14642475545406342,0.38162171840667725,0.42102840542793274
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.6054602265357971,0.18447189033031464,0.07484307885169983,0.12632811069488525
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,True,0.9934993982315063,0.002620465587824583,0.0016930683050304651,0.0010938214836642146
